year,ff49_industry,damodaran_industry,mapping_weight,mapping_confidence,reviewer,review_status,human_gate_approved,rationale
2026,Rtail,Retail (Automotive),0.15,MEDIUM,GPT-5.6 Sol,AI_REVIEWED,false,Automotive retail component
2026,Rtail,Retail (Building Supply),0.10,MEDIUM,GPT-5.6 Sol,AI_REVIEWED,false,Building-supply retail component
2026,Rtail,Retail (Grocery and Food),0.15,MEDIUM,GPT-5.6 Sol,AI_REVIEWED,false,Grocery retail component
2026,Meals,Restaurant/Dining,0.80,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Restaurant and dining core
2026,Meals,Hotel/Gaming,0.20,MEDIUM,GPT-5.6 Sol,AI_REVIEWED,false,Hospitality and leisure component
2026,Banks,Banks (Regional),0.70,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Regional banking component
2026,Banks,Bank (Money Center),0.30,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Money-center banking component
2026,Insur,Insurance (General),0.35,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,General insurance component
2026,Insur,Insurance (Life),0.20,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Life insurance component
2026,Insur,Insurance (Prop/Cas.),0.35,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Property and casualty component
2026,Insur,Reinsurance,0.10,MEDIUM,GPT-5.6 Sol,AI_REVIEWED,false,Reinsurance component
2026,RlEst,R.E.I.T.,0.40,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,REIT component
2026,RlEst,Real Estate (Development),0.20,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Development component
2026,RlEst,Real Estate (General/Diversified),0.20,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Diversified real estate component
2026,RlEst,Real Estate (Operations & Services),0.20,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Real-estate operations and services component
2026,Fin,Financial Svcs. (Non-bank & Insurance),0.40,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Non-bank financial-services component
2026,Fin,Brokerage & Investment Banking,0.30,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Brokerage and investment-banking component
2026,Fin,Investments & Asset Management,0.30,HIGH,GPT-5.6 Sol,AI_REVIEWED,false,Investment-management component
2026,Other,Diversified,1.00,LOW,GPT-5.6 Sol,AI_REVIEWED,false,Residual-category proxy only; requires human review
